,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
98,Severo-Kurilsk,48,RU,1546575869,100,50.68,156.12,25.97,14.81
99,Busselton,92,AU,1546575869,100,-33.64,115.35,66.25,12.24
100,Tasiilaq,92,GL,1546573800,86,65.61,-37.64,33.8,24.16
101,Vung Tau,92,VN,1546575870,100,10.35,107.08,78.04,21.3
102,Qaanaaq,0,GL,1546575871,66,77.48,-69.36,-4.91,8.21
103,Chapais,90,CA,1546573860,85,49.78,-74.86,15.8,9.17
104,Lagoa,0,PT,1546574400,87,37.14,-8.45,51.8,6.93
105,Iqaluit,5,CA,1546570800,75,63.75,-68.52,-20.21,2.24
106,Sao Filipe,32,CV,1546575874,96,14.9,-24.5,73.62,11.01
107,Svetlogorsk,90,RU,1546574400,77,53.14,59.15,3.2,6.2
108,New Norfolk,40,AU,1546574400,53,-42.78,147.06,75.2,17.22
109,Ilulissat,48,GL,1546573800,72,69.22,-51.1,15.8,4.7
110,Japura,12,ID,1546575876,74,-0.42,102.29,83.35,2.62
111,Richards Bay,44,ZA,1546575877,98,-28.77,32.06,65.8,5.19
112,Oussouye,0,SN,1546570800,88,12.49,-16.54,68.0,4.7
113,Moron,76,VE,1546575878,90,10.49,-68.2,68.85,2.73
114,Andapa,48,MG,1546575878,98,-14.66,49.65,70.47,1.61
115,Vanimo,48,PG,1546575879,100,-2.67,141.3,82.54,22.08
116,Rocha,0,UY,1546575880,81,-34.48,-54.34,54.5,3.74
117,Yulara,36,AU,1546574400,7,-25.24,130.99,111.2,5.82
118,Poum,80,MK,1546575881,76,41.28,20.71,15.4,1.95
119,Hermanus,0,ZA,1546575881,92,-34.42,19.24,52.16,3.85
120,Devils Lake,1,US,1546574100,100,48.11,-98.87,28.4,4.7
121,Sangar,56,RU,1546575883,37,63.92,127.47,-24.88,5.41
122,Victoria,75,BN,1546574400,74,5.28,115.24,87.8,8.05
123,Plettenberg Bay,0,ZA,1546575884,99,-34.05,23.37,64.58,5.3
124,Gat,0,SN,1546572600,45,14.69,-16.54,69.8,12.75
125,Brigham City,1,US,1546574100,80,41.51,-112.02,20.12,2.62
126,Yumen,12,CN,1546575886,70,40.29,97.04,0.86,3.18
127,Nador,0,MA,1546572600,81,35.17,-2.93,51.8,2.24
128,Half Moon Bay,75,US,1546574160,68,37.46,-122.43,50.0,6.93
129,Calama,0,CL,1546574400,23,-22.46,-68.93,60.8,8.05
130,Sola,90,NO,1546572000,100,58.89,5.65,44.6,5.82
131,Mahebourg,40,MU,1546574400,78,-20.41,57.7,82.4,10.29
132,Buraydah,0,SA,1546570800,93,26.33,43.97,44.6,3.36
133,Thompson,5,CA,1546570800,92,55.74,-97.86,15.8,8.05
134,Vangaindrano,56,MG,1546575891,97,-23.35,47.6,72.77,2.39
135,Slave Lake,90,CA,1546574400,79,55.28,-114.77,23.0,2.51
136,Udachnyy,8,RU,1546575892,58,66.42,112.4,-7.2,5.53
137,Ribeira Grande,92,PT,1546575893,99,38.52,-28.7,62.73,18.16
138,Beira,0,ES,1546572600,100,43.2,-8.36,37.4,5.82
139,Goya,92,AR,1546575894,91,-29.14,-59.27,70.3,12.68
140,Lake Havasu City,1,US,1546574100,24,34.47,-114.34,51.08,9.17
141,Russkaya Polyana,56,RU,1546575895,66,53.78,73.88,-8.68,4.97
142,Beloha,80,MG,1546575895,95,-25.17,45.06,73.35,5.41
143,Vaini,0,IN,1546574400,33,15.34,74.49,73.4,6.93
144,Kruisfontein,0,ZA,1546575896,85,-34.0,24.73,62.6,9.22
145,Fairbanks,20,US,1546573980,76,64.84,-147.72,-13.55,3.36
146,Toguchin,64,RU,1546575898,68,55.24,84.4,-9.32,2.84
147,Saskylakh,64,RU,1546575898,66,71.97,114.09,-0.77,10.67
148,Broome,0,GB,1546574160,86,52.47,1.45,32.0,4.7
149,Vilhena,24,BR,1546575899,93,-12.74,-60.15,72.95,2.06
150,Conde,88,BR,1546575696,87,-11.81,-37.61,78.4,7.54
151,Portland,90,US,1546570380,79,45.52,-122.67,51.98,11.41
152,Port Lincoln,12,AU,1546575901,80,-34.72,135.86,69.26,16.26
153,Port Blair,0,IN,1546575901,100,11.67,92.75,82.13,17.38
154,Ponta do Sol,80,BR,1546575902,97,-20.63,-46.0,67.32,3.06
155,Puerto Ayora,8,EC,1546575903,100,-0.74,-90.35,76.37,8.99
156,Pontianak,20,ID,1546574400,59,-0.02,109.34,89.6,3.36
157,San Ramon,92,NI,1546575904,86,12.92,-85.84,68.36,2.73
158,Vila Franca do Campo,40,PT,1546574400,93,37.72,-25.43,64.4,10.29
159,Belyy Yar,40,RU,1546574400,74,53.6,91.39,-22.01,0.38
160,Srednekolymsk,56,RU,1546575906,66,67.46,153.71,-4.23,3.4
161,Airai,88,TL,1546575906,60,-8.93,125.41,83.52,1.61
162,Nantucket,75,US,1546573980,64,41.28,-70.1,37.04,11.41
163,City of Passi,92,PH,1546575907,95,11.12,122.65,75.69,8.43
164,Lavrentiya,88,RU,1546575908,95,65.58,-170.99,11.52,16.04
165,San Francisco,40,US,1546573620,65,37.78,-122.42,50.0,5.64
166,Tabora,20,TZ,1546574400,100,-5.02,32.81,64.4,2.28
167,Batsfjord,75,NO,1546572000,92,70.63,29.72,23.0,5.82
168,Comodoro Rivadavia,0,AR,1546574400,82,-45.87,-67.48,57.2,4.7
169,Khatanga,64,RU,1546575910,69,71.98,102.47,-1.39,9.78
170,Coquimbo,0,CL,1546574400,87,-29.95,-71.34,57.2,5.82
171,Sinnamary,100,GF,1546575911,100,5.38,-52.96,75.11,9.66
172,Clyde River,90,CA,1546575420,84,70.47,-68.59,1.4,6.93
173,Namibe,36,AO,1546575912,100,-15.19,12.15,74.3,2.95
174,Adrar,0,DZ,1546575913,82,27.87,-0.29,41.05,9.55
175,Gorzow Wielkopolski,80,PL,1546575913,84,52.74,15.23,26.78,5.97
176,Bredasdorp,24,ZA,1546570800,93,-34.53,20.04,57.2,4.7
177,Mitsamiouli,90,KM,1546574400,94,-11.38,43.28,77.0,9.17
178,Talnakh,44,RU,1546575915,64,69.49,88.39,0.0,11.23
179,Sangmelima,8,CM,1546575916,94,2.93,11.98,69.12,2.51
180,Lakhnadon,0,IN,1546575916,67,22.6,79.61,53.6,2.73
181,Sungaipenuh,48,ID,1546575917,78,-2.08,101.38,75.2,1.28
182,Kalianget,20,ID,1546574400,66,-7.35,109.91,86.0,9.17
183,Narsaq,92,GL,1546575918,77,60.91,-46.05,21.79,8.21
184,Meulaboh,12,ID,1546575919,100,4.14,96.13,80.56,3.96
185,Chalon-sur-Saone,8,FR,1546574400,89,46.78,4.85,32.0,11.41
186,Nanortalik,92,GL,1546575920,87,60.14,-45.24,34.25,28.9
187,Pacific Grove,1,US,1546574040,67,36.62,-121.92,46.94,3.36
188,East London,0,ZA,1546574400,88,-33.02,27.91,64.4,5.82
189,Dikson,68,RU,1546575921,87,73.51,80.55,2.52,6.08
190,Gisborne,0,NZ,1546575922,62,-38.66,178.02,72.45,17.72
191,Klaksvik,92,FO,1546572000,93,62.23,-6.59,48.2,9.17
192,Coihaique,0,CL,1546574400,67,-45.58,-72.07,57.2,6.93
193,Inyonga,64,TZ,1546575923,97,-6.72,32.06,62.42,2.84
194,Lompoc,1,US,1546574160,76,34.64,-120.46,44.96,4.7
195,Cayenne,80,GF,1546574400,83,4.94,-52.33,78.8,10.29
196,Paamiut,80,GL,1546575925,100,61.99,-49.67,27.27,22.3
197,Ola,0,RU,1546575925,100,59.58,151.3,-0.9,12.8
198,Ust-Omchug,0,RU,1546575926,0,61.13,149.63,-43.38,2.73
199,Portree,92,GB,1546575926,100,57.41,-6.19,45.9,16.6
200,Shingu,0,JP,1546570800,43,33.72,135.99,50.0,3.36
201,Barrow,0,AR,1546575928,48,-38.31,-60.23,61.52,10.67
202,Riyadh,0,SA,1546570800,62,24.63,46.72,55.4,5.82
203,Barquisimeto,36,VE,1546575929,68,10.07,-69.32,73.76,7.54
204,Hithadhoo,68,MV,1546575929,100,-0.6,73.08,81.23,12.12
205,Lotofaga,75,WS,1546570800,66,-13.98,-171.86,89.6,11.41
206,Tiksi,36,RU,1546575930,56,71.64,128.87,-5.72,19.95
207,Alofi,92,NU,1546575931,100,-19.06,-169.92,76.69,15.48
208,Grand Gaube,40,MU,1546574400,78,-20.01,57.66,82.4,10.29
209,Minot,1,US,1546574160,69,48.23,-101.3,39.92,14.99
210,Gold Coast,0,AU,1546574400,54,-28.0,153.41,82.4,10.29
211,Miraflores,36,CO,1546575934,100,5.2,-73.14,47.57,1.16
212,Aylmer,75,CA,1546570800,86,42.77,-80.98,30.2,14.99
213,Palmer,0,AU,1546574400,60,-34.85,139.16,73.4,27.51
214,Caravelas,20,BR,1546575936,100,-17.73,-39.27,80.29,19.28
215,Kibala,0,TD,1546574400,55,9.11,18.35,66.2,9.78
216,Rubiataba,0,BR,1546575937,62,-15.16,-49.8,72.05,4.18
217,Araguari,24,BR,1546575938,82,-18.65,-48.19,72.0,3.06
218,Mkushi,48,ZM,1546575939,93,-13.61,29.4,59.85,2.84
219,Atherton,90,GB,1546573800,74,53.52,-2.49,37.4,2.24
220,Berezovyy,56,RU,1546575940,72,51.67,135.7,-6.88,3.29
221,Stuttgart,75,DE,1546573800,96,48.78,9.18,32.0,4.7
222,Lorengau,56,PG,1546575941,100,-2.02,147.27,82.45,16.26
223,Zhangjiakou,0,CN,1546575941,34,40.77,114.88,7.65,4.85
224,Saint-Francois,20,FR,1546574400,100,46.42,3.91,23.0,7.87
225,Guerrero Negro,0,MX,1546575942,68,27.97,-114.04,52.47,9.66
226,Turukhansk,80,RU,1546575943,74,65.8,87.96,10.13,19.28
227,Teguldet,76,RU,1546575943,70,57.31,88.17,-1.57,2.62
228,Aberdeen,1,US,1546573980,84,45.47,-98.49,28.04,10.29
229,Matara,92,PE,1546575945,94,-13.74,-72.9,46.17,1.5
230,Bud,92,NO,1546572000,93,62.91,6.91,46.4,20.8
231,Fort Nelson,5,CA,1546570800,84,58.81,-122.69,8.6,2.24
232,Eyl,76,SO,1546575946,98,7.98,49.82,75.02,18.05
233,Khandbari,0,NP,1546575947,50,27.38,87.21,17.51,1.61
234,Aurillac,0,FR,1546574400,79,44.93,2.44,28.4,3.36
235,Rach Gia,40,VN,1546574400,74,10.02,105.08,84.2,17.22
236,Saint-Joseph,0,FR,1546574400,92,43.56,6.97,26.6,2.24
237,Kieta,80,PG,1546575949,78,-6.22,155.63,86.95,10.67
238,Kodiak,1,US,1546573980,95,39.95,-94.76,35.6,5.82
239,Ribas do Rio Pardo,20,BR,1546575951,76,-20.45,-53.76,76.82,2.62
240,Kilindoni,68,TZ,1546575951,100,-7.91,39.67,81.91,12.01
241,Wagar,92,US,1546575952,96,31.44,-87.99,64.81,8.77
242,Eidsvag,92,NO,1546572000,93,62.78,8.07,44.6,36.91
243,Bilma,0,NE,1546575953,59,18.69,12.92,41.81,2.95
244,Panjab,92,AF,1546575953,87,34.38,67.02,27.05,4.18
245,Denpasar,20,ID,1546574400,62,-8.65,115.22,87.8,6.93
246,Cavaillon,0,FR,1546574400,59,43.83,5.04,35.6,16.11
247,Fomboni,76,KM,1546575955,100,-12.28,43.74,82.62,10.11
248,Cabo San Lucas,40,MX,1546570560,59,22.89,-109.91,60.8,8.05
249,Tabas,0,IR,1546570800,61,33.6,56.92,48.2,9.17
250,Reconquista,92,AR,1546575957,91,-29.14,-59.64,70.3,12.68
251,Pontalina,36,BR,1546575688,78,-17.52,-49.45,74.66,2.84
252,Namatanai,56,PG,1546575958,100,-3.66,152.44,83.21,13.91
253,Tommot,56,RU,1546575958,59,58.97,126.27,-2.93,6.42
254,Longyearbyen,20,NO,1546573800,72,78.22,15.63,15.8,3.36
255,Mayya,44,RU,1546574400,74,61.74,130.28,-27.41,2.24
256,Bilibino,44,RU,1546575960,39,68.06,166.44,-26.73,2.39
257,Hambantota,0,LK,1546571400,83,6.12,81.12,78.8,13.87
258,Torbay,5,CA,1546574400,92,47.66,-52.73,5.0,4.7
259,Rapid Valley,1,US,1546575300,62,44.06,-103.15,46.4,5.82
260,Vestmannaeyjar,100,IS,1546575962,93,63.44,-20.27,47.88,22.53
261,Oskarshamn,68,SE,1546573800,80,57.26,16.44,32.0,9.17
262,Parabel,80,RU,1546575963,71,58.71,81.5,-1.57,6.64
263,Hovd,75,NO,1546570200,93,63.83,10.7,44.6,19.46
264,Grindavik,90,IS,1546574400,100,63.84,-22.43,48.2,25.28
265,Lamu,24,ID,1546575965,83,0.57,122.3,83.25,2.84
266,Ahipara,0,NZ,1546575966,71,-35.17,173.16,72.23,16.82
267,Ruwi,12,OM,1546570200,82,23.6,58.55,66.2,3.36
268,Codrington,0,AU,1546574400,43,-28.95,153.24,91.4,14.99
269,Viesca,40,MX,1546570020,30,25.34,-102.81,55.4,2.62
270,Vestmanna,92,FO,1546572000,93,62.16,-7.17,48.2,9.17
271,Quthing,76,LS,1546575968,96,-30.4,27.7,55.35,2.95
272,Sibolga,80,ID,1546575968,100,1.74,98.78,70.39,1.39
273,Salmas,90,IR,1546570800,92,38.2,44.77,24.8,4.7
274,Goure,0,NE,1546575969,51,13.98,10.27,57.79,10.22
275,Kiama,0,AU,1546574400,55,-34.67,150.86,87.8,11.41
276,Prince Rupert,90,CA,1546573260,80,54.32,-130.32,35.6,4.7
277,Viedma,0,AR,1546575971,68,-40.81,-62.99,53.96,2.95
278,Gladstone,0,AU,1546574400,45,-23.84,151.26,86.0,23.04
279,Jinchang,44,CN,1546575972,71,38.52,102.19,6.17,1.61
280,Vila,0,IT,1546573800,62,45.18,8.4,32.0,2.24
281,Saint-Augustin,0,FR,1546574400,86,44.83,-0.61,30.2,8.05
282,Los Llanos de Aridane,20,ES,1546574400,63,28.66,-17.92,62.6,8.05
283,Inhambane,80,MZ,1546575975,100,-23.87,35.38,74.97,5.75
284,Grootfontein,40,NA,1546574400,88,-19.56,18.1,68.0,4.7
285,Batemans Bay,0,AU,1546575976,51,-35.71,150.18,89.15,6.64
286,Kirovskiy,24,RU,1546575976,55,45.09,133.51,16.65,3.51
287,San Quintin,12,PH,1546575977,59,17.54,120.52,83.66,1.28
288,Tongzi,76,CN,1546575977,97,28.78,105.09,43.7,4.18
289,Iwaki,75,JP,1546570800,56,37.05,140.89,41.0,12.75
290,Kapuskasing,90,CA,1546574400,92,49.42,-82.43,26.6,9.17
291,Sept-Iles,20,CA,1546574460,83,50.2,-66.38,-9.41,4.7
292,Paita,8,PE,1546575979,80,-5.09,-81.11,71.42,6.42
293,Inuvik,90,CA,1546570800,84,68.36,-133.71,8.6,9.17
294,Desbiens,80,CA,1546575980,76,48.42,-71.95,11.25,4.97
295,Labuhan,44,ID,1546575981,74,-2.54,115.51,86.22,3.29
296,Gushikawa,40,JP,1546574160,55,26.35,127.87,73.22,10.29
297,Nizhniy Tsasuchey,0,RU,1546575982,51,50.52,115.13,-0.13,16.37
298,Temozon,0,MX,1546575982,71,20.8,-88.22,76.5,6.2
299,Cabinda,92,AO,1546575983,99,-5.56,12.19,80.06,3.18
300,Bambous Virieux,40,MU,1546574400,78,-20.34,57.76,82.4,10.29
301,Port Hardy,75,CA,1546574400,93,50.7,-127.42,42.8,5.82
302,Semypolky,90,UA,1546574400,92,50.72,30.95,28.4,4.47
303,Harnai,44,PK,1546575985,83,30.1,67.94,40.15,2.73
304,Nemuro,20,JP,1546570800,58,43.32,145.57,28.4,9.17
305,Agidel,76,RU,1546575986,85,55.9,53.94,14.45,7.76
306,Vardo,1,US,1546574400,66,39.62,-77.74,35.06,4.7
307,Meshchovsk,92,RU,1546575987,94,54.32,35.29,26.06,3.4
308,Manacapuru,0,BR,1546574400,100,-3.3,-60.62,75.2,2.17
309,Hasaki,20,JP,1546572600,34,35.73,140.83,48.2,5.82
310,Mount Gambier,90,AU,1546574400,68,-37.83,140.78,66.2,17.22
311,Chor,8,PK,1546575989,86,25.52,69.77,49.73,2.95
312,Tatarsk,76,RU,1546575990,65,55.22,75.96,-3.56,3.29
313,Pisco,90,PE,1546574400,83,-13.71,-76.2,71.6,11.41
314,Teahupoo,20,PF,1546572600,62,-17.83,-149.27,87.8,6.93
315,Makat,68,KZ,1546575991,88,47.65,53.35,15.49,10.33
316,Roebourne,0,AU,1546575992,38,-20.77,117.15,96.75,11.34
317,Ambon,0,FR,1546574400,92,47.55,-2.56,32.0,8.05
318,Lyngseidet,75,NO,1546573800,100,69.58,20.21,33.8,4.7
319,Macae,44,BR,1546575994,93,-22.37,-41.79,71.51,2.62
320,Zaozhuang,92,CN,1546575994,93,34.86,117.55,34.65,8.1
321,Mehamn,92,NO,1546575995,94,71.03,27.85,21.15,3.74
322,Vila Velha,75,BR,1546574400,78,-3.71,-38.6,82.4,13.87
323,Clovis,40,US,1546574100,63,36.83,-119.7,46.94,2.62
324,Sao Jose da Coroa Grande,44,BR,1546575996,99,-8.9,-35.15,75.11,4.74
325,Kathmandu,20,NP,1546573800,70,27.71,85.32,46.4,2.24
326,Kapit,24,MY,1546575997,81,2.02,112.94,83.66,2.17
327,Eufaula,90,US,1546574100,96,31.89,-85.15,66.02,5.08
328,Pangkalanbuun,12,ID,1546575998,86,-2.68,111.62,86.68,4.18
329,Adelaide,0,AU,1546574400,60,-34.93,138.6,73.4,27.51
330,Niquelandia,0,BR,1546575999,77,-14.47,-48.46,69.8,2.73
331,Tiarei,20,PF,1546572600,62,-17.53,-149.33,87.8,6.93
332,Golcuv Jenikov,0,CZ,1546574400,92,49.82,15.48,24.8,9.17
333,Natal,40,BR,1546574400,74,-5.81,-35.21,80.6,12.75
334,Shumyachi,88,RU,1546576001,94,53.86,32.43,28.45,6.53
335,Spokane,1,US,1546574160,59,47.66,-117.42,42.98,6.93
336,Kaitangata,92,NZ,1546576002,83,-46.28,169.85,56.21,16.82
337,Lerwick,75,GB,1546573800,87,60.15,-1.15,48.2,24.16
338,Puerto Madryn,76,AR,1546576003,55,-42.77,-65.04,68.94,4.41
339,Huarmey,0,PE,1546576004,92,-10.07,-78.15,60.53,3.4
340,Moranbah,0,AU,1546576004,42,-22.0,148.04,90.91,14.58
341,Toamasina,20,MG,1546574400,94,-18.17,49.38,78.8,2.24
342,Megion,90,RU,1546574400,92,61.04,76.11,15.8,13.42
343,Biak,76,ID,1546576006,76,-0.91,122.88,86.41,2.62
344,Pulivendla,0,IN,1546574400,69,14.42,78.23,75.2,4.7
345,Saldanha,0,PT,1546576008,74,41.42,-6.55,19.13,2.62
346,Sierra Vista,1,US,1546570680,74,31.55,-110.3,39.02,2.62
347,Falesti,0,MD,1546574400,73,47.57,27.71,21.2,8.05
348,Smithers,90,CA,1546570800,92,54.78,-127.17,24.8,3.36
349,Muros,0,ES,1546572600,100,42.77,-9.06,37.4,4.7
350,Guatire,88,VE,1546576011,95,10.47,-66.54,69.57,2.06
351,Borogontsy,48,RU,1546576012,38,62.67,131.17,-25.07,3.18
352,Deputatskiy,8,RU,1546576012,0,69.3,139.9,-23.72,5.08
353,Kavieng,68,PG,1546576013,100,-2.57,150.8,84.79,15.03
354,Moses Lake,1,US,1546573980,68,47.13,-119.28,44.96,12.75
355,Cairns,40,AU,1546574400,55,-16.92,145.77,89.6,16.11
356,Yichang,92,CN,1546576015,98,30.77,111.32,37.22,4.29
357,La Union,12,GT,1546576016,94,14.97,-89.29,64.0,1.95
358,Ponta Delgada,40,PT,1546574400,93,37.73,-25.67,64.4,10.29
359,San Marcos,20,GT,1546575874,95,14.97,-91.79,56.7,1.95
360,Ambovombe,56,MG,1546576017,97,-25.18,46.09,74.8,7.43
361,Makakilo City,1,US,1546574220,55,21.35,-158.09,78.08,8.05
362,Whitehorse,90,CA,1546570800,92,60.72,-135.06,14.0,6.93
363,Ulety,12,RU,1546576019,54,51.36,112.48,-7.11,10.0
364,Maumere,56,ID,1546576019,98,-8.63,122.22,82.08,12.24
365,De-Kastri,12,RU,1546576020,100,51.48,140.77,11.8,12.24
366,Sao Joao da Barra,64,BR,1546576020,100,-21.64,-41.05,76.91,25.32
367,Talcahuano,0,CL,1546574400,87,-36.72,-73.12,55.4,9.17
368,Sitka,0,US,1546576022,72,37.17,-99.65,24.4,7.99
369,Mandalgovi,0,MN,1546576022,53,45.76,106.27,-7.43,3.18
370,Fare,8,PF,1546576023,100,-16.7,-151.02,84.02,5.64
371,Alkhazurovo,90,RU,1546574400,75,43.06,45.65,33.8,2.24
